stop,lattitude,longitude,zip_code,district,day_weighted_degree
PL. GRUNWALDZKI,51.11162051,17.06008642,50-363,Śródmieście,496.8125
DWORZEC NADODRZE,51.1242294,17.03500925,50-255,Śródmieście,393.625
Dubois,51.11694924,17.03421196,50-257,Śródmieście,335.1875
pl. Bema,51.116691,17.041769,50-265,Śródmieście,307.5625
Kliniki,51.10920637,17.06641438,50-369,Śródmieście,255.1875
Pomorska,51.11789231,17.03100195,50-207,Śródmieście,250.5
Kochanowskiego,51.115018,17.073334,51-602,Śródmieście,235.25
PL. STASZICA,51.12214228,17.03076658,50-219,Śródmieście,232.875
Hala Stulecia,51.10689468,17.07372026,51-618,Śródmieście,223.375
Ogród Botaniczny,51.11715674,17.05147222,50-349,Śródmieście,222.5
most Grunwaldzki,51.11013327,17.0555734,50-384,Śródmieście,197.75
Nowowiejska,51.1242394,17.04498789,50-301,Śródmieście,192.875
Tramwajowa,51.10432787,17.08421204,51-621,Śródmieście,192.125
Wyszyńskiego,51.12191852,17.05294165,50-315,Śródmieście,181.5625
Jedności Narodowej,51.1215486,17.04345675,50-320,Śródmieście,179.75
Katedra,51.11419938,17.05079812,50-330,Śródmieście,164.375
Na Szańcach,51.11940016,17.04201805,50-326,Śródmieście,163.75
ZOO,51.10561429,17.07741786,51-618,Śródmieście,152.4375
Dmowskiego,51.11698989,17.02566254,50-202,Śródmieście,148.25
Mosty Warszawskie,51.12838294,17.0538428,50-303,Śródmieście,147.8125
Spółdzielcza,51.10266017,17.10242505,51-662,Śródmieście,137.0
Chełmońskiego,51.10365181,17.09094842,51-627,Śródmieście,137.0
Piramowicza,51.10298927,17.09696465,51-658,Śródmieście,137.0
Śniadeckich,51.11978379,17.07746295,51-602,Śródmieście,134.25
8 Maja,51.1135437,17.091098000000002,51-620,Śródmieście,132.8125
Godebskiego (AWF Wrocław),51.11377088,17.09846129,51-620,Śródmieście,132.375
Zacisze,51.12435183,17.07782182,51-601,Śródmieście,118.75
Piastowska,51.11578475,17.06018899,50-348,Śródmieście,115.0
SĘPOLNO,51.11428512,17.10389412,51-684,Śródmieście,107.5
Paulińska,51.12097128,17.03500554,50-247,Śródmieście,104.1875
Daszyńskiego,51.12631807,17.04775741,50-304,Śródmieście,103.25
Karłowicza,51.11691447,17.08605899,51-612,Śródmieście,100.75
Chopina,51.11673691,17.08162462,51-608,Śródmieście,100.625
Stadion Olimpijski,51.11682539,17.09007458,51-612,Śródmieście,100.625
Bujwida,51.11336316,17.06690582,50-378,Śródmieście,95.375
Słowiańska,51.1234541,17.04047812,50-234,Śródmieście,93.375
Damrota,51.12648854,17.0548761,50-304,Śródmieście,87.25
Reja,51.11278613,17.05556464,50-382,Śródmieście,81.625
Górnickiego,51.11625309,17.05491953,50-349,Śródmieście,80.5
Grunwaldzka,51.1150209,17.0677333,50-352,Śródmieście,69.125
BISKUPIN,51.10098894,17.10878688,51-648,Śródmieście,68.5
Monte Cassino,51.10569558,17.10504999,51-662,Śródmieście,54.75
Partyzantów,51.10631317,17.09207313,51-668,Śródmieście,54.75
Okrzei,51.10642824,17.09846396,51-676,Śródmieście,54.75
Świętokrzyska,51.11729733,17.04418632,50-335,Śródmieście,47.75
Prusa,51.11984446,17.05636847,50-314,Śródmieście,34.5
Libelta,51.10945916,17.10841757,51-681,Śródmieście,33.25
Park Szczytnicki,51.11154666,17.08302653,51-620,Śródmieście,32.0625
Mickiewicza,51.10927179,17.07474936,51-619,Śródmieście,31.875
Bacciarellego,51.10543867,17.11165182,51-649,Śródmieście,22.0
Zajezdnia OŁBIN,51.12383941,17.04104391,50-235,Śródmieście,13.75
BARTOSZOWICE,51.1025481,17.11606706,51-649,Śródmieście,11.0
Kopernika,51.11199113,17.08484451,51-620,Śródmieście,0.25
